province,province_code,region,population,date,cases,deaths,recovered,tested
Nova Scotia,NS,Atlantic,923598,2020-06-13,0,0,1,620
Prince Edward Island,PE,Atlantic,142907,2020-06-13,0,0,0,0
Yukon,YT,North,35874,2020-06-13,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-13,0,0,0,0
Nunavut,NU,North,35944,2020-06-13,0,0,0,5
British Columbia,BC,West Coast,4648055,2020-06-14,0,0,0,1703
Alberta,AB,Prairies,4067175,2020-06-14,50,0,31,6804
Saskatchewan,SK,Prairies,1098352,2020-06-14,1,0,0,431
Manitoba,MB,Prairies,1278365,2020-06-14,1,0,0,602
Ontario,ON,Central,13448494,2020-06-14,197,12,423,22516
Quebec,QC,Central,8164361,2020-06-14,128,27,461,6005
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-14,0,0,0,173
New Brunswick,NB,Atlantic,747101,2020-06-14,0,0,3,195
Nova Scotia,NS,Atlantic,923598,2020-06-14,0,0,0,422
Prince Edward Island,PE,Atlantic,142907,2020-06-14,0,0,0,0
Yukon,YT,North,35874,2020-06-14,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-14,0,0,0,0
Nunavut,NU,North,35944,2020-06-14,0,0,0,1
British Columbia,BC,West Coast,4648055,2020-06-15,36,0,41,191
Alberta,AB,Prairies,4067175,2020-06-15,20,1,1,2975
Saskatchewan,SK,Prairies,1098352,2020-06-15,18,0,1,488
Manitoba,MB,Prairies,1278365,2020-06-15,0,0,3,692
Ontario,ON,Central,13448494,2020-06-15,181,8,252,21040
Quebec,QC,Central,8164361,2020-06-15,102,20,471,4106
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-15,0,0,1,102
New Brunswick,NB,Atlantic,747101,2020-06-15,3,0,0,307
Nova Scotia,NS,Atlantic,923598,2020-06-15,0,0,0,247
Prince Edward Island,PE,Atlantic,142907,2020-06-15,0,0,0,509
Yukon,YT,North,35874,2020-06-15,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-15,0,0,0,38
Nunavut,NU,North,35944,2020-06-15,0,0,0,5
British Columbia,BC,West Coast,4648055,2020-06-16,11,0,21,1719
Alberta,AB,Prairies,4067175,2020-06-16,29,0,20,5464
Saskatchewan,SK,Prairies,1098352,2020-06-16,1,0,2,397
Manitoba,MB,Prairies,1278365,2020-06-16,0,0,0,518
Ontario,ON,Central,13448494,2020-06-16,184,11,218,21014
Quebec,QC,Central,8164361,2020-06-16,92,27,137,3266
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-16,0,0,0,208
New Brunswick,NB,Atlantic,747101,2020-06-16,3,0,2,249
Nova Scotia,NS,Atlantic,923598,2020-06-16,0,0,1,203
Prince Edward Island,PE,Atlantic,142907,2020-06-16,0,0,0,166
Yukon,YT,North,35874,2020-06-16,0,0,0,8
Northwest Territories,NT,North,41786,2020-06-16,0,0,0,10
Nunavut,NU,North,35944,2020-06-16,0,0,0,32
British Columbia,BC,West Coast,4648055,2020-06-17,19,0,6,1469
Alberta,AB,Prairies,4067175,2020-06-17,48,0,11,5925
Saskatchewan,SK,Prairies,1098352,2020-06-17,9,0,2,399
Manitoba,MB,Prairies,1278365,2020-06-17,2,0,1,344
Ontario,ON,Central,13448494,2020-06-17,190,12,353,23413
Quebec,QC,Central,8164361,2020-06-17,117,29,199,4888
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-17,0,0,0,189
New Brunswick,NB,Atlantic,747101,2020-06-17,1,0,2,482
Nova Scotia,NS,Atlantic,923598,2020-06-17,0,0,0,377
Prince Edward Island,PE,Atlantic,142907,2020-06-17,0,0,0,247
Yukon,YT,North,35874,2020-06-17,0,0,0,2
Northwest Territories,NT,North,41786,2020-06-17,0,0,0,2
Nunavut,NU,North,35944,2020-06-17,0,0,0,14
British Columbia,BC,West Coast,4648055,2020-06-18,8,0,3,1788
Alberta,AB,Prairies,4067175,2020-06-18,49,1,45,6688
Saskatchewan,SK,Prairies,1098352,2020-06-18,15,0,3,517
Manitoba,MB,Prairies,1278365,2020-06-18,2,0,0,638
Ontario,ON,Central,13448494,2020-06-18,173,3,220,24452
Quebec,QC,Central,8164361,2020-06-18,120,42,205,5685
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-18,0,0,1,212
New Brunswick,NB,Atlantic,747101,2020-06-18,0,0,2,363
Nova Scotia,NS,Atlantic,923598,2020-06-18,0,0,0,465
Prince Edward Island,PE,Atlantic,142907,2020-06-18,0,0,0,123
Yukon,YT,North,35874,2020-06-18,0,0,0,5
Northwest Territories,NT,North,41786,2020-06-18,0,0,0,4
Nunavut,NU,North,35944,2020-06-18,0,0,0,19
British Columbia,BC,West Coast,4648055,2020-06-19,7,0,19,1429
Alberta,AB,Prairies,4067175,2020-06-19,46,0,23,7802
Saskatchewan,SK,Prairies,1098352,2020-06-19,8,0,0,634
Manitoba,MB,Prairies,1278365,2020-06-19,3,0,0,559
Ontario,ON,Central,13448494,2020-06-19,178,11,246,26334
Quebec,QC,Central,8164361,2020-06-19,167,35,218,6347
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-19,0,0,0,236
New Brunswick,NB,Atlantic,747101,2020-06-19,0,0,0,264
Nova Scotia,NS,Atlantic,923598,2020-06-19,0,0,1,300
Prince Edward Island,PE,Atlantic,142907,2020-06-19,0,0,0,204
Yukon,YT,North,35874,2020-06-19,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-19,0,0,0,8
Nunavut,NU,North,35944,2020-06-19,0,0,0,6
British Columbia,BC,West Coast,4648055,2020-06-20,0,0,0,1697
Alberta,AB,Prairies,4067175,2020-06-20,48,0,35,6399
Saskatchewan,SK,Prairies,1098352,2020-06-20,10,0,3,520
Manitoba,MB,Prairies,1278365,2020-06-20,2,0,0,746
Ontario,ON,Central,13448494,2020-06-20,206,31,218,26492
Quebec,QC,Central,8164361,2020-06-20,124,33,229,6187
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-20,0,0,0,161
New Brunswick,NB,Atlantic,747101,2020-06-20,0,0,0,565
Nova Scotia,NS,Atlantic,923598,2020-06-20,0,0,0,285
Prince Edward Island,PE,Atlantic,142907,2020-06-20,0,0,0,157
Yukon,YT,North,35874,2020-06-20,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-20,0,0,0,0
Nunavut,NU,North,35944,2020-06-20,0,0,0,9
British Columbia,BC,West Coast,4648055,2020-06-21,0,0,0,942
Alberta,AB,Prairies,4067175,2020-06-21,31,0,22,6787
Saskatchewan,SK,Prairies,1098352,2020-06-21,20,0,4,683
Manitoba,MB,Prairies,1278365,2020-06-21,0,0,0,700
Ontario,ON,Central,13448494,2020-06-21,175,11,251,22642
Quebec,QC,Central,8164361,2020-06-21,92,9,121,0
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-21,0,0,0,260
New Brunswick,NB,Atlantic,747101,2020-06-21,0,0,0,191
Nova Scotia,NS,Atlantic,923598,2020-06-21,0,0,0,286
Prince Edward Island,PE,Atlantic,142907,2020-06-21,0,0,0,163
Yukon,YT,North,35874,2020-06-21,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-21,0,0,0,0
Nunavut,NU,North,35944,2020-06-21,0,0,0,6
British Columbia,BC,West Coast,4648055,2020-06-22,32,1,27,398
Alberta,AB,Prairies,4067175,2020-06-22,32,1,23,5670
Saskatchewan,SK,Prairies,1098352,2020-06-22,5,0,0,587
Manitoba,MB,Prairies,1278365,2020-06-22,1,0,0,302
Ontario,ON,Central,13448494,2020-06-22,161,3,214,21184
Quebec,QC,Central,8164361,2020-06-22,69,0,184,0
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-22,0,0,0,144
New Brunswick,NB,Atlantic,747101,2020-06-22,0,0,0,159
Nova Scotia,NS,Atlantic,923598,2020-06-22,0,1,0,131
Prince Edward Island,PE,Atlantic,142907,2020-06-22,0,0,0,99
Yukon,YT,North,35874,2020-06-22,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-22,0,0,0,0
Nunavut,NU,North,35944,2020-06-22,0,0,0,3
British Columbia,BC,West Coast,4648055,2020-06-23,13,1,20,2622
Alberta,AB,Prairies,4067175,2020-06-23,45,0,55,5517
Saskatchewan,SK,Prairies,1098352,2020-06-23,2,0,0,363
Manitoba,MB,Prairies,1278365,2020-06-23,0,0,0,635
Ontario,ON,Central,13448494,2020-06-23,216,10,174,15660
Quebec,QC,Central,8164361,2020-06-23,49,7,114,13112
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-23,0,0,0,244
New Brunswick,NB,Atlantic,747101,2020-06-23,1,0,8,180
Nova Scotia,NS,Atlantic,923598,2020-06-23,0,0,0,289
Prince Edward Island,PE,Atlantic,142907,2020-06-23,0,0,0,117
Yukon,YT,North,35874,2020-06-23,0,0,0,9
Northwest Territories,NT,North,41786,2020-06-23,0,0,0,0
Nunavut,NU,North,35944,2020-06-23,0,0,0,3
British Columbia,BC,West Coast,4648055,2020-06-24,14,1,25,1149
Alberta,AB,Prairies,4067175,2020-06-24,44,0,38,5560
Saskatchewan,SK,Prairies,1098352,2020-06-24,4,0,1,502
Manitoba,MB,Prairies,1278365,2020-06-24,1,0,0,574
Ontario,ON,Central,13448494,2020-06-24,163,12,229,22448
Quebec,QC,Central,8164361,2020-06-24,53,17,90,4533
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-24,0,0,0,222
New Brunswick,NB,Atlantic,747101,2020-06-24,0,0,4,265
Nova Scotia,NS,Atlantic,923598,2020-06-24,0,0,0,287
Prince Edward Island,PE,Atlantic,142907,2020-06-24,0,0,0,151
Yukon,YT,North,35874,2020-06-24,0,0,0,6
Northwest Territories,NT,North,41786,2020-06-24,0,0,0,76
Nunavut,NU,North,35944,2020-06-24,0,0,0,8
British Columbia,BC,West Coast,4648055,2020-06-25,20,2,1,1522
Alberta,AB,Prairies,4067175,2020-06-25,26,1,57,5236
Saskatchewan,SK,Prairies,1098352,2020-06-25,2,0,5,485
Manitoba,MB,Prairies,1278365,2020-06-25,1,0,1,391
Ontario,ON,Central,13448494,2020-06-25,189,10,192,26611
Quebec,QC,Central,8164361,2020-06-25,142,7,76,4481
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-25,0,0,0,285
New Brunswick,NB,Atlantic,747101,2020-06-25,0,0,2,222
Nova Scotia,NS,Atlantic,923598,2020-06-25,0,0,0,449
Prince Edward Island,PE,Atlantic,142907,2020-06-25,0,0,0,0
Yukon,YT,North,35874,2020-06-25,0,0,0,1
Northwest Territories,NT,North,41786,2020-06-25,0,0,0,12
Nunavut,NU,North,35944,2020-06-25,0,0,0,18
British Columbia,BC,West Coast,4648055,2020-06-26,9,1,28,1886
Alberta,AB,Prairies,4067175,2020-06-26,37,0,34,5502
Saskatchewan,SK,Prairies,1098352,2020-06-26,13,0,6,530
Manitoba,MB,Prairies,1278365,2020-06-26,2,0,6,1023
Ontario,ON,Central,13448494,2020-06-26,111,3,226,29774
Quebec,QC,Central,8164361,2020-06-26,0,0,0,0
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-26,0,0,0,183
New Brunswick,NB,Atlantic,747101,2020-06-26,0,0,1,272
Nova Scotia,NS,Atlantic,923598,2020-06-26,0,0,0,287
Prince Edward Island,PE,Atlantic,142907,2020-06-26,0,0,0,405
Yukon,YT,North,35874,2020-06-26,0,0,0,6
Northwest Territories,NT,North,41786,2020-06-26,0,0,0,0
Nunavut,NU,North,35944,2020-06-26,0,0,0,12
British Columbia,BC,West Coast,4648055,2020-06-27,0,0,0,1818
Alberta,AB,Prairies,4067175,2020-06-27,69,0,58,5192
Saskatchewan,SK,Prairies,1098352,2020-06-27,5,0,7,828
Manitoba,MB,Prairies,1278365,2020-06-27,4,0,0,714
Ontario,ON,Central,13448494,2020-06-27,160,8,178,32397
Quebec,QC,Central,8164361,2020-06-27,0,0,0,0
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-27,0,0,0,127
New Brunswick,NB,Atlantic,747101,2020-06-27,0,0,4,241
Nova Scotia,NS,Atlantic,923598,2020-06-27,0,0,0,258
Prince Edward Island,PE,Atlantic,142907,2020-06-27,0,0,0,469
Yukon,YT,North,35874,2020-06-27,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-27,0,0,0,14
Nunavut,NU,North,35944,2020-06-27,0,0,0,14
British Columbia,BC,West Coast,4648055,2020-06-28,0,0,0,913
Alberta,AB,Prairies,4067175,2020-06-28,39,0,39,5391
Saskatchewan,SK,Prairies,1098352,2020-06-28,1,0,0,516
Manitoba,MB,Prairies,1278365,2020-06-28,0,0,0,958
Ontario,ON,Central,13448494,2020-06-28,178,6,175,27696
Quebec,QC,Central,8164361,2020-06-28,0,0,0,0
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-28,0,0,0,241
New Brunswick,NB,Atlantic,747101,2020-06-28,0,0,4,205
Nova Scotia,NS,Atlantic,923598,2020-06-28,0,0,0,245
Prince Edward Island,PE,Atlantic,142907,2020-06-28,0,0,0,220
Yukon,YT,North,35874,2020-06-28,0,0,0,0
Northwest Territories,NT,North,41786,2020-06-28,0,0,0,0
Nunavut,NU,North,35944,2020-06-28,0,0,0,5
British Columbia,BC,West Coast,4648055,2020-06-29,26,0,32,261
Alberta,AB,Prairies,4067175,2020-06-29,71,0,32,5667
Saskatchewan,SK,Prairies,1098352,2020-06-29,1,0,18,550
Manitoba,MB,Prairies,1278365,2020-06-29,2,0,0,437
Ontario,ON,Central,13448494,2020-06-29,257,7,89,26240
Quebec,QC,Central,8164361,2020-06-29,311,37,816,11230
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-29,0,0,0,143
New Brunswick,NB,Atlantic,747101,2020-06-29,0,0,0,167
Nova Scotia,NS,Atlantic,923598,2020-06-29,0,0,0,207
Prince Edward Island,PE,Atlantic,142907,2020-06-29,0,0,0,41
Yukon,YT,North,35874,2020-06-29,0,0,0,11
Northwest Territories,NT,North,41786,2020-06-29,0,0,0,23
Nunavut,NU,North,35944,2020-06-29,0,0,0,3
British Columbia,BC,West Coast,4648055,2020-06-30,12,0,13,2491
Alberta,AB,Prairies,4067175,2020-06-30,41,0,53,6026
Saskatchewan,SK,Prairies,1098352,2020-06-30,6,0,5,328
Manitoba,MB,Prairies,1278365,2020-06-30,1,0,0,301
Ontario,ON,Central,13448494,2020-06-30,157,7,148,22982
Quebec,QC,Central,8164361,2020-06-30,68,18,196,15606
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-30,0,0,0,141
New Brunswick,NB,Atlantic,747101,2020-06-30,0,0,1,175
Nova Scotia,NS,Atlantic,923598,2020-06-30,1,0,0,282
Prince Edward Island,PE,Atlantic,142907,2020-06-30,0,0,0,107
Yukon,YT,North,35874,2020-06-30,0,0,0,6
Northwest Territories,NT,North,41786,2020-06-30,0,0,0,5
Nunavut,NU,North,35944,2020-06-30,0,0,0,18
